Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
"[0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1
 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1
 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0]",0.9714076246334311,0.9668621700879765,0.0014216069963097727,"[0 1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0
 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 1 1 0 1 0
 1 1 0 1 1 0 1 0 0 1 1 0 0 0 1 1 1 0 0 1 1]",0.9648093841642229
"[1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0 1 0 0
 0 0 1 1 0 0 1 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0
 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1]",0.9714076246334311,0.9666422287390029,0.0023699750550212023,"[1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0
 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 0
 0 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1]",0.9626099706744868
"[0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0
 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0
 0 1 1 0 0 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 0]",0.9706744868035191,0.9664222873900293,0.001934150433764356,"[0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0
 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0 1 0
 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1]",0.9626099706744868
"[0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 0 1 0
 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 0 0
 0 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0]",0.9706744868035191,0.9667888563049856,0.0017973094827171924,"[0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0
 1 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 1 1 0 0 0 1 0 1 1
 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1]",0.9640762463343109
"[1 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1
 0 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 1 1 0
 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 1 0 1]",0.9721407624633431,0.9667888563049853,0.002519478046545391,"[0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0
 1 1 0 1 0 1 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 0 1 0 1 0 1 1 1 0 0 1 1 0 1 1 0 0 1]",0.9633431085043989
"[1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 0 1
 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1
 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0]",0.9728739002932552,0.9669354838709678,0.002570168349407344,"[1 1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 0 1 0 1 1 1
 1 0 1 0 1 1 0 1 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0
 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0]",0.9626099706744868
"[0 1 0 1 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0
 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0
 1 0 1 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1]",0.9714076246334311,0.9666422287390031,0.0020800969148256736,"[1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0
 0 1 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 0 0 1
 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1]",0.9640762463343109
"[0 1 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0
 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 1
 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0]",0.9714076246334311,0.9678885630498535,0.001565553995899018,"[1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1
 1 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 0 1 0 1 1]",0.9648093841642229
"[1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 0
 0 0 0 1 1 1 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 1 0 1
 0 1 0 1 0 0 1 0 0 0 1 1 0 1 1 0 1 0 1 0 0]",0.9699413489736071,0.9659824046920822,0.0029178517217202907,"[0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 0 1
 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1
 0 1 0 0 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0]",0.9611436950146628
"[0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1 1 0 1 0 0
 1 1 0 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1
 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1]",0.9714076246334311,0.9663856304985339,0.0019015707257101064,"[0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 0 0 0 1
 0 1 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1
 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1]",0.9626099706744868
"[1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 1 1 1 1 1 0 0 0 1 0 1 1 0 0 0
 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0 0 0 1 0
 0 1 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 0]",0.9714076246334311,0.9666788856304986,0.002053767570063259,"[0 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 1 0
 1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 1 1 1 1 1 0 0 1 1 0 0 1 0 0 1 0 0 0
 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 0]",0.9633431085043989
"[0 0 0 0 0 1 0 1 1 0 1 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 0
 0 1 0 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 0
 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0]",0.9721407624633431,0.966898826979472,0.0017698105138670528,"[1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 1
 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0
 1 0 0 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1]",0.9648093841642229
"[0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 1 0 0 1 0 1 1 1 1 1
 0 0 0 0 1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0
 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 1 1 1 1 0 0]",0.9721407624633431,0.9673387096774194,0.0021929891511944296,"[1 1 1 1 1 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0
 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 1
 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 0 1 0 0 0]",0.9633431085043989
"[0 0 1 1 1 1 0 1 0 0 0 1 0 0 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0
 0 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 1 0
 0 1 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 0]",0.9736070381231672,0.9669354838709678,0.0024193548387096754,"[0 0 1 0 1 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0
 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 1
 1 0 0 1 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1]",0.9626099706744868
"[0 0 1 1 0 1 1 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 0 0 0
 1 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1
 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0]",0.9721407624633431,0.9664589442815247,0.0017637260591963928,"[1 0 1 0 1 0 0 0 1 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1
 1 0 1 0 0 1 0 0 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 1 1 0 0 1 0
 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0]",0.9640762463343109
"[1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0
 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1
 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 1 0 1 0]",0.9721407624633431,0.9666788856304986,0.0011469565870353372,"[1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0
 0 1 0 1 1 1 0 1 1 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 1 0 1 0 0 1 0 0 1 1 0 1 1
 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 1 1 1 1]",0.9640762463343109
"[1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1
 1 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1
 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0]",0.9721407624633431,0.9670454545454545,0.002277157256671164,"[1 0 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1
 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1 1 1 1 0 0 1 0
 1 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0]",0.9633431085043989
"[1 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1
 1 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 0 1 0 0 1
 1 1 0 1 0 0 1 1 1 0 1 1 1 0 0 1 1 0 1 0 0]",0.9728739002932552,0.9661290322580646,0.002144976369256273,"[0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1
 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0
 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0]",0.9611436950146628
"[1 1 1 0 0 1 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0
 1 1 0 1 0 0 1 0 1 0 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1
 1 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 1 0 1 0]",0.9714076246334311,0.9666666666666667,0.001762921681023599,"[1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1
 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 1 0 0 1
 0 1 0 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 0]",0.9633431085043989
"[1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1
 0 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1
 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0]",0.9721407624633431,0.9676197458455523,0.0021423297110403808,"[1 1 0 0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 1 0
 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1
 0 1 1 0 1 0 1 0 0 0 1 1 1 1 1 0 1 1 0 1 1]",0.9640762463343109
"[1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1
 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 1 1 0
 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0]",0.9736070381231672,0.966275659824047,0.0019023949614886165,"[1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0
 0 0 0 1 0 0 1 1 1 1 0 0 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 1 0
 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0]",0.9633431085043989
"[1 0 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1
 1 1 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1
 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0]",0.9721407624633431,0.967008797653959,0.0021582993319471744,"[1 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 1 1
 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1
 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 0 0 0 1 1]",0.9626099706744868
"[0 0 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1
 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 1 1 1
 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 1 1 1 0]",0.9736070381231672,0.967448680351906,0.002070167994579409,"[1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0
 0 1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0
 1 1 0 0 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 0 0]",0.9626099706744868
"[0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0
 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0
 1 1 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 1 1 0]",0.9736070381231672,0.9667399804496578,0.002219550479894336,"[0 0 1 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 1 0 0 1 0 0 1
 1 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0]",0.9618768328445748
"[0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0
 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 0
 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0]",0.9721407624633431,0.9671309872922776,0.002295734876350919,"[1 0 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 0 0 1 0 0 1 0 0
 1 1 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 0
 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0]",0.9618768328445748
"[1 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 0 1 1 0 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 0
 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 0 1 0
 0 0 1 0 1 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1]",0.9728739002932552,0.9666422287390031,0.0022931320015044947,"[1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0
 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0
 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0]",0.9626099706744868
"[1 0 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 1 0 1 0
 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1
 1 1 0 0 1 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1]",0.9736070381231672,0.9663000977517109,0.0017603791264371445,"[1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1
 0 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0
 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0]",0.9633431085043989
